Ticket created - Month,Customer,Product Name,Application,Incident Type,Ticket Type,Ticket Category,Incident Description,Incident Severity,Resolution Steps,Resolved by
September,Wheeltek,LOS,Web Application,Product,Training,Training on Payment Recording,user facing issues,Severity 4,"1. user facing issues 
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Manager wants to update branch,Severity 4,"1. Manager wants to update branch
2. Divya checked the details and updated branch via SSP
3. confirmation send to manager via live chat",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User wanted to create cashier accounts,Severity 4,"1. User wanted to create cashier accounts
2. Dhivya checked in SSP and created the cashier accounts
3. Confirmation was given that accounts were created and link was sent to user email",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. User wants to update branch
2. Divya checked the details
3. Asked user to contact admin manager for branch update",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked SSP and asked the user to reset the password
3. as per the confirmation in 6682 from ccdo, the user was able to login, hence the ticket is closed",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User getting error as invalid credentials while login,Severity 3,"1. User getting error as invalid credentials while try to login
2. Divya checked the details 
3. Asked user to reset password from  the login page using forgot password",L1
September,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to update manager branch,Severity 4,"1. User wants to update manager branch
2. Dhivya checked in SSP and updated the branch of the manager
3. Confirmation was given to the user",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User getting error as invalid credentials while try to login,Severity 3,"1. User getting error as invalid credentials while try to login
2. Divya checked the details and send a new password via SSP
3. User was able to login",L1
September,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to update his branch details,Severity 4,"1. User wants to update his branch details 
2. Dhivya checked in SSP and informed the user to contact Sir Rendel and that it was already mailed to him",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,Cashier approved the transactions but not appear in Ec pay,Severity 3,"1. Cashier approved the transactions but not appear in Ec pay
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,Cashier approved transactions but it is not appearing in ECpay,Severity 3,"1. Cashier approved transactions but it is not appearing in ECpay
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User has issues in EC pay,Severity 3,"1. User has issues in EC pay.
2. Divya checked in SSP and raised the issue to L2 team.
3. L2 team informed that this is a promise to pay transaction and cannot be seen in EC pay. The same was mailed to the user.",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. User having login issues
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to add branch to manager,Severity 4,"1. User wants to add branch to manager
2. Divya checked the SSP and informed the user that it will be added and mailed
3. Additional branch was added to the manager and confirmation mail was sent to the user",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Divya checked the issue and informed the user to reset password and login
3. Confirmation was given to the user",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User having issues in submitting applications,Severity 3,"1. User having issues in submitting applications
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User getting error as suspended while trying to login,Severity 3,"1. User getting error as suspended while trying to login
2. Divya checked the details and asked user to try to login in the production URL
3. User was able to login",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User approved transactions but not approved in Ec pay,Severity 3,"1. User approved transactions but not approved in Ec pay
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,Cashier approve transactions but it doesn't appear in Ec pay,Severity 3,"1. Cashier approve transactions but it doesn't appear in Ec pay
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,User says he doesn't appear in cashier app,Severity 3,"1. User says he doesn't appear in cashier app 
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,User collection doesnt appear in cashier app,Severity 3,"1. User collection doesnt appear in cashier app
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction not seen in Ecpay,Severity 3,"1. Cashier approved transaction not seen in Ecpay
2. Dhivya checked in SSP and asked the user for more details
3. No response from user for more than 48 hours hence closing this ticket",L1
September,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to  change password with password following proper guidelines
3. User was confirmed to use capital letter in password to reset the password",L1
September,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User branch was requested to be updated,Severity 4,"1. User branch was requested to be updated
2. Dhivya checked in SSP and updated the branch of the user
3. Confirmation was given to the user",L1
September,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,"User says, he wants to update the branch for his manager",Severity 4,"1. User says, he wants to update the branch for his manager
2. Dhivya checked in SSP and informed the manager was mapped to both branches already
3. Confirmation was given to the user",L1
September,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,User wants access as CI,Severity 4,"1. User wants access as CI
2. Dhivya checked in SSP and informed the user that the issue has been already worked with ticket number 6733
3. The user was informed in order to access for CI, user has to connect with admin manager.",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User raised a ticket in offline,Severity 4,"1. User raised a ticket in offline
2. Divya  asked for more details via email
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User unable to submit application form,Severity 4,"1. User unable to submit application form
2. Dhivya checked in SSP and asked the user to fill the 9th page completely
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User have login issues,Severity 3,"1. User have login issues
2. Dhivya checked in SSP and asked the user to reset the password using forgot password option
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User want to updated branch,Severity 4,"1. User want to updated branch 
2. Dhivya checked in SSP and informed the user branch was on the specified branch
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,New cashier account creation request raised by user,Severity 4,"1. New cashier account creation request raised by user
2. Dhivya checked in SSP and user account already exists hence number was updated
3. Confirmation mail was sent to the user",L1
October,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User having issue in approving an application,Severity 3,"1. User having issue in approving loan application
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User has login issues followup,Severity 3,"1. User has login issues followup
2. Dhivya checked in SSP and informed the user issue was resolved and can now log in with email:jeranycasas@gmail.com and password:demopassword123.
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User branch updation request,Severity 4,"1. User branch updation request
2. Divya checked in SSP and raised the issue to L2 team
3. L2 team modified the data and confirmation mail was sent to the user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User having issue in login,Severity 3,"1. User having issue in login
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on user login,User having issue in login,Severity 3,"1. User having error while login
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,UP,Web Application,User Training,Training,Training on Payment Recording,User raised a ticket via chat support,Severity 4,"1. User raised a ticket via chat support
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User raised a ticket via chat support,Severity 4,"1. User raised a ticket via chat support
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issue,Severity 3,"1. User facing login issue
2. Dhivya checked in SSP and asked the user for screenshot
3. User confirmed he is able to login",L1
October,Wheeltek,LOS,Web Application,Product,Request,Request for user registration,User wants to add CI,Severity 4,"1. User wants to add CI
2. Dhivya checked the SSP and informed that the users didnot have CI access, to register for CI access, they have to connect with their admin manager.
3. confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request for user registration,Manager wants to create manager accounts,Severity 4,"1. Manager wants to create new manager account
2. Divya checked the details and created manager account
3. Reset password link has been send to the new users and the details has been shared to the manager via live chat itself",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Divya checked SSP and informed the user to reset the password
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Manager wants to update branch,Severity 4,"1. Manager wants to update branch
2. Divya checked the details and updated branch
3. Confirmation has been send to user via live chat itself",L1
October,Wheeltek,UP,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. User wants to update branch
2.Divya checked and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to create new manager accounts,Severity 4,"1. User wants to create new manager accounts
2. Dhivya checked in SSP and created the new manager request
3. User account was created and confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update his branch,Severity 4,"1. User wants to update his branch
2. Dhivya checked in SSP and updated the branch of the user
3. confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update phone number,Severity 4,"1. User wants to update phone number
2. Dhivya checked in SSP and updated the phone number 
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to reset the password using forgot password option
3. confirmation was given to the user",L1
October,Wheeltek,LOS,Web Application,Product,Request,Request on User modification,User wants to update the CI,Severity 4,"1. User wants to update the CI
2. Dhivya checked in SSP and updated that the requested CI belongs to different branch and need to connect with admin manager to update
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to update branch details for few users,Severity 4,"1. User wants to update branch details for few users
2. Dhivya checked in SSP and updated the details
3. Confirmation mail was sent to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Manager wants to update branch,Severity 4,"1. Manager wants to update branch
2. Divya checked the details and updated branch using SSP
3. Email confirmation send to manager via email",L1
October,Wheeltek,UP,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. user wants to update branch
2. Divya checked the details and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Manager wants to update branch,Severity 4,"1. Manager wants to update branch
2. Divya checked the details and updated branch via SSP
3. Confirmation send to user via live chat",L1
October,Wheeltek,UP,Web Application,Product,Request,Request on User modification,Manager wants to update branch,Severity 4,"1. Manager wants to update branch
2. Divya checked the details 
3. Issue has been resolved after retrying",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. user wants to update branch
2. Divya asked for more details via email
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User wants to create a cashier account,Severity 4,"1. User wants to register a cashier account
2. Divya asked for more details via email
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Manager wants to update email ID,Severity 4,"1. Manager wants to update email ID
2. Divya checked the details in the SSP
3. Email send to user that the email ID is already updated",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update branch of CS,Severity 4,"1. User wants to update branch of CS
2. Dhivya checked in SSP and updated the branch
3. Confirmation mail was sent to the user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked the user to reset the password using forgot password option
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Incident,Issue on user login,Manager was not receiving OTP while try to reset password,Severity 3,"1.Manager was not receiving  OTP while try to login
2. Divya checked the details
3. Reset the password via SSP",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,Manager wants to update email ID,Severity 4,"1. Manager wants to update email  ID
2. Divya checked the details
3. Informed manager that the email ID is already updated",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User having issue in approving a transcation,Severity 3,"1. user having issue in approving a transaction
2. Divya checked the details and requested for more details via email
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to register a cashier account
2. Divya checked the details and created a cashier account
3. Email confirmation send to the manager",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to create a cashier account
2. Divya checked the details and created cashier account
3. Email confirmation send to manager",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager wants to create cashier account
2. Divya checked the details in SSP
3. Imformed manager that the cashier account already exists",L1
October,Wheeltek,UP,Web Application,Product,Request,Request on User modification,User wants to update branch,Severity 4,"1. user wants to update branch
2. Divya checked the details and asked for more information
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. User having login issues
2. Divya asked for more details via email
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. user having login issues
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was unable to login error shown as invalid credentials,Severity 3,"1. User was unable to login error shown as invalid credentials
2. Divya checked the details and asked user to login using the production url
3. User was unable to login",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to register cashier accoint,Severity 4,"1. Manager wants to register cashier account
2. Divya checked the details and created cashier account
3. Confirmation send to manager via live chat",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. User having login issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,User needs to create new cashier account,Severity 4,"1. User needs to create new cashier account
2. Dhivya checked in SSP and created the new cashier account
3. Confirmation was given to the user",L1
October,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User having login issues,Severity 3,"1. User having login issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,cashier approved transaction but not appear in EC pay,Severity 3,"1. cashier approved transaction but not appear in EC pay 
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transaction but not found in Ec pay,Severity 3,"1. Cashier approved transaction but not found in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Divya checked in SSP and asked the user to reset the password
3. User confirmed he is now able to login",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Incident,Issue on payment recording,cashier approved transaction but couldn't find it in Ec pay,Severity 3,"1. Cashier approved transaction but couldn't find it in EC pay
2. Divya checked the details
3. Issue has been resolved",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transactions didnt reflect in Ec pay,Severity 3,"1. Cashier approved transactions didnt reflect in Ec pay.
2. Dhivya checked in SSP and informed the user to share screenshot.
3. Meanwhile user confirmed issue was rectified",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User having login issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User wants to know about the status of an application,Severity 4,"1. User wants to know about the status of application
2. Divya asked for more details via email
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,User wants to update the branch,Severity 4,"1. User wants to update the branch
2. Divya checked in SSP and updated the user branch
3. Confirmation mail was sent to the user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on payment recording,User facing auto logout issues,Severity 3,"1. User facing auto logout issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,cashier approved transaction but not appear in Ec pay,Severity 3,"1. cashier approved transaction but not appear in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on payment recording,User unable to submit the loan application,Severity 3,"1. User unable to submit the loan application
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User says app is loading when he clicks on new loan application,Severity 3,"1. User says app is loading when he clicks on new loan application
2. Dhivya checked in SSP and asked the user to delete the browsing history and try.
3. User confirmed the app is working fine",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User approved transactions but not appear in Ec pay,Severity 3,"1. User approved transactions but not appear in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User approved transaction and not reflect in Ec pay,Severity 3,"1. User approved transaction and not reflect in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User has filled wrong address in new loan application form,Severity 4,"1. User has filled wrong address in new loan application form
2. Dhivya checked in SSP and asked the user to withdraw and submit a new one as the address cant be edited in pending submission stage
3. confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request on User modification,Manager wants to deactivate users,Severity 4,"1. Manager wants to deactivate user
2. divya checked and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User was having login issue,Severity 3,"1. User was having login issue
2. Divya checked in SSP and asked the user to reset the password and login
3. Confirmation was given to the user",L1
October,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User having issue in application filing,Severity 3,"1. user having issue in filing an application
2. Divya checked and asked for more details
3. Closing the ticket as there is no response from user",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User unable to select the correct customer place in the loan application,Severity 4,"1. User unable to select the correct customer place in the loan application
2. Divya checked in SSP and asked the user to clear cache and fill it again
3. Confirmation was given to the user",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User wants to know about a payment,Severity 4,"1. user wants to know about a payment
2. Divya checked and asked for more details
3. closing the ticket as there is no response from  user",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing auto logout issues,Severity 3,"1. User facing auto logout issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User facing issues and not explained,Severity 4,"1. User facing issues and not explained 
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,User wants to update his branch,Severity 4,"1. User wants to update his branch
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User approved transactions does not reflect in Ec pay,Severity 3,"1. User approved transactions does not reflect in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,,Severity 3,,L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User says he is not a collector,Severity 4,"1. User says he is not a collector
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create cashier account,Severity 4,"1. Manager wants to create cashier account
2. Divya checked the details and created a cashier account
3. Reset password link has been send to cashier and confirmation given for the registration to the manager via live chat",L1
October,Wheeltek,LOS,Web Application,Product,Incident,Issue on payment recording,User unable to select the city/municipality in the given field.,Severity 3,"1. User unable to select the city/municipality in the given field.
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,Cashier branch updation and cashier account creation request was raised by the user,Severity 3,"1. Cashier branch updation and cashier account creation request was raised by the user
2. Dhivya checked in SSP and updated the branch and new cashier account was created
3. Confirmation mail was sent to the user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approved transactions are not reflected in Ec pay,Severity 3,"1. Cashier approved transactions are not reflected in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,User Training,Training,Training on Payment Recording,User facing issues and not explained,Severity 4,"1. User facing issues and not explained
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues in cashier app,Severity 3,"1. User facing login issues in cashier app
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User approved transactions are not seen in Ec pay,Severity 3,"1. User approved transactions are not seen in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approve transaction but not showing in EC pay,Severity 3,"1. Cashier approve transaction but not showing in EC pay
2. Dhivya checked in SSP and asked the user for more details
3. Since no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,Cashier approve transactions are not reflected in Ec pay,Severity 3,"1. Cashier approve transactions are not reflected in Ec pay
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing password issues,Severity 3,"1. User facing password issues
2. Dhivya checked in SSP and asked for more details 
3. Since there is no response from the user for more than 48 hours, this ticket is being closed",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request on User modification,Cashier wants to update email ID,Severity 4,"1. Cashier wants to update email ID
2. Divya checked the details and updated email ID via SSP
3. Confirmation send to user via live chat",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on user login,User reported login issue,Severity 3,"1. User reported login issue
2. Divya checked and asked for further details via email
3. Closing the ticket as there is no response from user within 48 hours",L1
October,Wheeltek,Fintech - AIDC,Mobile,Product,Request,Request for user registration,Manager wants to register a CS account,Severity 4,"1. Manager wants to register a CS account
2. Divya checked the details and created a CS account using SSP
3. Login credentials has been shared to CS via live chat",L1
October,Wheeltek,Denali,Mobile,Product,Request,Request for user registration,User wants to register for login,Severity 4,"1. User wants to get registered
2. Dhivya checked the details
3. Dhivya asked the user to contact admin manager for registration",L1
October,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,User reported login issue,Severity 3,"1. User reported login issue
2. dhivya checked and asked for more details via email
3. Closing the ticket as there is no response from user within 48 hours",L1
October,Wheeltek,Denali,Mobile,Product,Incident,Issue on user login,user reported login issue,Severity 3,"1. user reported login issue
2. Divya checked and asked for more details via email
3. Closing the ticket as there is no response from user within 48 hours",L1
October,Wheeltek,UP,Web Application,Product,Incident,Issue on user login,User facing login issues,Severity 3,"1. User facing login issues
2. Divya checked in SSP and asked the user to reset the password
3. Confirmation was given to the user",L1
October,Wheeltek,LOS,Web Application,User Training,Training,Training on Payment Recording,User raised a ticket without any details,Severity 4,"1. User raised a ticket without details
2. divya checked and asked for more details via email
3. Closing the ticket as there is no response from user within 48 hours",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Incident,Issue on payment recording,User asking about payment not appearing in Ec pay,Severity 3,"1.User asking about payment not appearing in Ec pay
2. Dhivya checked in SSP and asked user to contact wheeltek internal team 
3. confirmation was given to user to connect with admin manager",L1
October,Wheeltek,Fintech - AIDC,dashboard_web,Product,Request,Request on User modification,User wants to update the branch for the branch head,Severity 4,"1. User wants to update the branch for the branch head
2. Dhivya checked in SSP and updated the additional branch for the user
3. Confirmation was given to the user",L1
October,Wheeltek,Fintech - AIDC,Web Application,Product,Request,Request for user registration,Manager wants to create a cashier account,Severity 4,"1. Manager requested to create a cashier account
2. Divya checked the details and created a cashier account
3. Credentials are provided to manager",L1
